DateStamp (yyyydddhhmmssmm),Latitude (degrees),Flash Longitude (degrees),Flash Strength (Total Mj)
20211400130400,30.2526,-52.7371,142
20211400131200,31.1939,-53.5426,859
20211400132000,27.6212,-52.6776,69
20211400132400,30.4916,-52.8687,14
20211400132400,31.1924,-53.6312,215
20211400132400,27.6072,-52.6604,68
20211400133200,31.2649,-53.3993,1413
20211400134000,27.5924,-52.6533,17
20211400134200,29.7135,-52.7286,69
20211400134400,31.2288,-53.4681,1325
20211400135000,29.7233,-52.7252,14
20211400135200,30.3843,-52.8251,6950
20211400135400,31.2499,-53.4694,114
20211400135400,29.7313,-52.7057,37
20211400136200,29.7281,-52.6884,89
20211400136400,27.6167,-52.6449,392
20211400137000,30.3745,-52.8412,2448
20211400137400,27.6054,-52.6533,300
20211400138000,30.4157,-52.8287,2679
20211400138000,29.7381,-52.652,273
20211400138400,30.3921,-52.8569,554
20211400139000,29.7355,-52.6572,48
20211400139000,27.6092,-52.6405,208
20211400139200,29.7374,-52.6476,68
20211400139200,27.6156,-52.6467,33
20211400139400,27.6197,-52.6466,43
20211400140000,29.7342,-52.6393,119
20211400140200,27.6068,-52.6495,35
20211400140400,30.4295,-52.8213,3859
20211400140400,29.7489,-52.6528,62
20211400141200,27.623,-52.6423,96
20211400141400,30.4851,-52.0266,10
20211400141400,29.7621,-52.6445,113
20211400141400,30.3577,-52.8617,385
20211400141400,35.5939,-55.9549,465
20211400142200,27.6137,-52.6268,276
20211400142400,30.481,-52.0127,17
20211400143200,29.7721,-52.6237,130
20211400143400,27.6236,-52.6143,373
20211400143400,35.3613,-56.8091,100
20211400143400,30.4403,-52.8319,1424
20211400145000,29.7921,-52.6176,69
20211400145000,27.6415,-52.6266,199
20211400145400,27.6566,-52.6231,69
20211400145400,30.4666,-52.8402,1288
20211400145400,30.4815,-51.986,120
20211400147000,27.6507,-52.5901,134
20211400147200,30.4415,-52.8361,1338
20211400147400,30.5296,-51.9612,278
20211400148200,27.6754,-52.6333,118
20211400148400,35.3864,-56.7401,215
20211400148400,30.7253,-51.9689,1298
20211400149200,30.7263,-51.9756,27
20211400149200,27.6696,-52.6121,234
20211400149400,27.6861,-52.6513,32
20211400150000,30.7184,-51.969,121
20211400150400,27.6836,-52.6232,155
20211400150400,30.7248,-51.9685,14
20211400150400,30.5464,-51.9442,262
20211400151200,30.7323,-51.9708,81
20211400151200,27.6884,-52.6112,128
20211400151400,35.3973,-56.7523,146
20211400152000,30.7181,-51.9629,87
20211400152000,27.6657,-52.5743,100
20211400152400,30.5096,-52.7421,3318
20211400153000,27.6379,-52.6035,57
20211400153200,30.7228,-51.9461,359
20211400153400,26.0888,-53.5509,213
20211400153400,30.5425,-51.9272,193
20211400153400,30.5803,-52.0601,49
20211400154000,27.6807,-52.591,138
20211400154200,30.7297,-51.9567,168
20211400154400,30.5038,-52.7373,2033
20211400154400,26.0827,-53.5559,56
20211400155200,30.584,-52.0423,234
20211400155400,35.5709,-56.1601,5037
20211400156000,30.5096,-52.7257,2557
20211400156000,26.0906,-53.5528,24
20211400156000,30.606,-52.0491,29
20211400156200,27.6914,-52.6018,265
20211400156200,30.7241,-51.9442,218
20211400157000,30.5736,-52.0259,172
20211400157000,30.5287,-52.7861,332
20211400157400,30.5804,-51.9884,1222
20211400158000,30.7298,-51.9321,171
20211400158200,30.5847,-51.9744,112
20211400158400,30.8519,-51.8785,501
20211400158400,30.5978,-52.021,29
20211400159000,30.5385,-52.7529,1814
20211400159200,30.597,-52.0145,134
20211400200000,30.5964,-51.989,444
20211400200400,30.6119,-52.0104,48
20211400200400,30.5191,-52.7588,970
20211400201200,30.4323,-54.7136,199
20211400201400,30.6183,-52.0093,21
20211400202200,30.6026,-51.9738,187
20211400203200,30.6163,-51.9885,58
20211400204400,30.6109,-51.9708,39
20211400205200,30.4462,-54.6505,503
20211400205200,30.7946,-51.8256,6949
20211400207000,30.637,-52.6927,2579
20211400207200,30.451,-54.6575,538
20211400208000,30.8001,-51.8456,2737
20211400208000,31.2971,-52.0566,1538
20211400208400,30.4563,-54.657,399
20211400209000,30.7977,-51.9444,214
20211400209200,30.653,-52.677,140
20211400209400,30.7927,-51.9486,13
20211400209400,30.8117,-51.9232,963
20211400210200,30.8053,-51.9443,10
20211400210400,30.8015,-51.9468,136
20211400211000,30.7983,-51.9464,19
20211400211200,28.3383,-52.0555,3900
20211400211200,30.6269,-51.9683,357
20211400211400,30.4308,-52.6606,33
20211400212000,30.8166,-51.8652,2261
20211400212000,28.3234,-52.0789,449
20211400212400,29.7393,-52.5872,489
20211400212400,30.8175,-51.9265,48
20211400213000,30.6359,-51.9704,27
20211400213200,30.8019,-51.9294,46
20211400213200,28.3425,-52.0298,1089
20211400213400,30.8201,-51.8761,206
20211400214000,28.3192,-52.0174,42
20211400214000,31.076,-53.6037,237
20211400214200,30.8101,-51.93,29
20211400214200,30.8085,-51.9268,51
20211400214400,31.0747,-53.603,66
20211400214400,30.8058,-51.9186,86
20211400215000,28.3645,-51.9951,1041
20211400215200,30.8101,-51.9028,115
20211400215200,31.1076,-53.6051,62
20211400216200,31.1008,-53.6105,174
20211400216400,28.326,-52.0588,858
20211400216400,30.8181,-51.8475,952
20211400217000,30.9733,-53.733,1133
20211400217000,31.1179,-53.5638,435
20211400217000,30.6513,-51.9864,2157
20211400217200,30.8321,-51.9337,135
20211400217400,28.3756,-51.9852,1891
20211400217400,31.1038,-53.5979,192
20211400218000,28.3174,-51.9854,5
20211400218200,30.8103,-51.9123,359
20211400218200,28.3324,-52.0623,479
20211400218200,28.3174,-51.9853,11
20211400218200,31.1016,-53.6115,413
20211400218400,31.1042,-53.6031,48
20211400219000,28.3178,-52.0559,251
20211400219000,31.1055,-53.6202,18
20211400219200,27.8042,-52.4825,67
20211400219200,28.3176,-51.9848,8
20211400219200,28.3181,-51.9579,23
20211400219200,30.6609,-51.9905,1586
20211400219200,31.1077,-53.5962,256
20211400219400,28.2957,-51.9669,40
20211400219400,28.3221,-52.0103,88
20211400219400,28.3183,-51.9652,98
20211400219400,28.3035,-51.9539,38
20211400219400,31.1053,-53.61,30
20211400220000,28.3172,-51.9854,6
20211400220000,28.3179,-51.9705,11
20211400220000,28.3167,-51.9851,37
20211400220000,28.2954,-52.0546,295
20211400220000,28.3241,-51.9748,22
20211400220000,28.2916,-51.9584,44
20211400220000,30.8514,-51.8255,2361
20211400220000,28.3179,-52.0044,11
20211400220200,28.3289,-51.9673,64
20211400220200,28.3187,-51.9848,4
20211400220200,28.3562,-51.9839,2412
20211400220200,28.318,-51.9859,14
20211400220200,31.0952,-53.6217,173
20211400220400,28.3222,-51.9726,35
20211400220400,28.3137,-51.9964,53
20211400220400,28.3271,-51.9708,90
20211400220400,28.3151,-51.9932,53
20211400221000,28.3048,-51.9485,8
20211400221000,28.3171,-51.9927,24
20211400221000,28.3303,-51.9621,195
20211400221000,31.1161,-53.5898,318
20211400221000,30.683,-52.0007,390
20211400221000,28.3093,-51.9762,14
20211400221000,28.3253,-51.9831,22
20211400221200,30.8497,-51.9077,185
20211400221200,28.3167,-51.985,43
20211400221200,28.3723,-52.0176,687
20211400221200,28.3131,-51.9805,63
20211400221200,28.3163,-52.0059,7
20211400221200,31.1104,-53.6153,42
20211400221200,28.305,-51.9767,78
20211400221200,30.847,-51.9008,21
20211400221400,28.3291,-51.9815,11
20211400221400,28.3046,-51.9885,10
20211400221400,28.3175,-51.9973,39
20211400221400,28.4158,-51.9837,148
20211400221400,28.3147,-51.9825,39
20211400221400,28.3061,-51.9702,180
20211400221400,28.324,-51.9833,19
20211400221400,28.3076,-52.0045,15
20211400222000,28.3334,-51.9629,157
